userId,body
u001,'{"userId":"u099","connectionType":"Following"}'
u001,'{"userId":"u100","connectionType":"Following"}'
u001,'{"userId":"u002","connectionType":"Following"}'
u001,'{"userId":"u003","connectionType":"Following"}'
u002,'{"userId":"u099","connectionType":"Following"}'
u002,'{"userId":"u100","connectionType":"Following"}'
u002,'{"userId":"u004","connectionType":"Following"}'
u003,'{"userId":"u100","connectionType":"Following"}'
u004,'{"userId":"u099","connectionType":"Following"}'
u004,'{"userId":"u001","connectionType":"Following"}'
u005,'{"userId":"u100","connectionType":"Following"}'
u005,'{"userId":"u099","connectionType":"Following"}'
u005,'{"userId":"u006","connectionType":"Following"}'
u005,'{"userId":"u007","connectionType":"Following"}'
u005,'{"userId":"u008","connectionType":"Following"}'
u006,'{"userId":"u100","connectionType":"Following"}'
u006,'{"userId":"u007","connectionType":"Following"}'
u007,'{"userId":"u099","connectionType":"Following"}'
u008,'{"userId":"u100","connectionType":"Following"}'
u009,'{"userId":"u099","connectionType":"Following"}'
u009,'{"userId":"u100","connectionType":"Following"}'
u010,'{"userId":"u100","connectionType":"Following"}'
u011,'{"userId":"u099","connectionType":"Following"}'
u012,'{"userId":"u100","connectionType":"Following"}'
u013,'{"userId":"u099","connectionType":"Following"}'
u014,'{"userId":"u100","connectionType":"Following"}'
u015,'{"userId":"u099","connectionType":"Following"}'
u016,'{"userId":"u100","connectionType":"Following"}'
u017,'{"userId":"u099","connectionType":"Following"}'
u018,'{"userId":"u100","connectionType":"Following"}'
u019,'{"userId":"u099","connectionType":"Following"}'
u020,'{"userId":"u100","connectionType":"Following"}'
u021,'{"userId":"u099","connectionType":"Following"}'
u022,'{"userId":"u100","connectionType":"Following"}'
u023,'{"userId":"u099","connectionType":"Following"}'
u024,'{"userId":"u100","connectionType":"Following"}'
u025,'{"userId":"u099","connectionType":"Following"}'
u026,'{"userId":"u100","connectionType":"Following"}'
u027,'{"userId":"u099","connectionType":"Following"}'
u028,'{"userId":"u100","connectionType":"Following"}'
u029,'{"userId":"u099","connectionType":"Following"}'
u030,'{"userId":"u100","connectionType":"Following"}'
u031,'{"userId":"u099","connectionType":"Following"}'
u032,'{"userId":"u100","connectionType":"Following"}'
u033,'{"userId":"u099","connectionType":"Following"}'
u034,'{"userId":"u100","connectionType":"Following"}'
u035,'{"userId":"u099","connectionType":"Following"}'
u036,'{"userId":"u100","connectionType":"Following"}'
u037,'{"userId":"u099","connectionType":"Following"}'
u038,'{"userId":"u100","connectionType":"Following"}'
u039,'{"userId":"u099","connectionType":"Following"}'
u040,'{"userId":"u100","connectionType":"Following"}'
u041,'{"userId":"u099","connectionType":"Following"}'
u042,'{"userId":"u100","connectionType":"Following"}'
u043,'{"userId":"u099","connectionType":"Following"}'
u044,'{"userId":"u100","connectionType":"Following"}'
u045,'{"userId":"u099","connectionType":"Following"}'
u046,'{"userId":"u100","connectionType":"Following"}'
u047,'{"userId":"u099","connectionType":"Following"}'
u048,'{"userId":"u100","connectionType":"Following"}'
u049,'{"userId":"u099","connectionType":"Following"}'
u050,'{"userId":"u100","connectionType":"Following"}'
u050,'{"userId":"u099","connectionType":"Following"}'
u051,'{"userId":"u100","connectionType":"Following"}'
u052,'{"userId":"u099","connectionType":"Following"}'
u053,'{"userId":"u100","connectionType":"Following"}'
u054,'{"userId":"u099","connectionType":"Following"}'
u055,'{"userId":"u100","connectionType":"Following"}'
u056,'{"userId":"u099","connectionType":"Following"}'
u057,'{"userId":"u100","connectionType":"Following"}'
u058,'{"userId":"u099","connectionType":"Following"}'
u059,'{"userId":"u100","connectionType":"Following"}'
u060,'{"userId":"u099","connectionType":"Following"}'
u061,'{"userId":"u100","connectionType":"Following"}'
u062,'{"userId":"u099","connectionType":"Following"}'
u063,'{"userId":"u100","connectionType":"Following"}'
u064,'{"userId":"u099","connectionType":"Following"}'
u065,'{"userId":"u100","connectionType":"Following"}'
u066,'{"userId":"u099","connectionType":"Following"}'
u067,'{"userId":"u100","connectionType":"Following"}'
u068,'{"userId":"u099","connectionType":"Following"}'
u069,'{"userId":"u100","connectionType":"Following"}'
u070,'{"userId":"u099","connectionType":"Following"}'
u071,'{"userId":"u100","connectionType":"Following"}'
u072,'{"userId":"u099","connectionType":"Following"}'
u073,'{"userId":"u100","connectionType":"Following"}'
u074,'{"userId":"u099","connectionType":"Following"}'
u075,'{"userId":"u100","connectionType":"Following"}'
u076,'{"userId":"u099","connectionType":"Following"}'
u077,'{"userId":"u100","connectionType":"Following"}'
u078,'{"userId":"u099","connectionType":"Following"}'
u079,'{"userId":"u100","connectionType":"Following"}'
u080,'{"userId":"u099","connectionType":"Following"}'
u081,'{"userId":"u100","connectionType":"Following"}'
u082,'{"userId":"u099","connectionType":"Following"}'
u083,'{"userId":"u100","connectionType":"Following"}'
u084,'{"userId":"u099","connectionType":"Following"}'
u085,'{"userId":"u100","connectionType":"Following"}'
u086,'{"userId":"u099","connectionType":"Following"}'
u087,'{"userId":"u100","connectionType":"Following"}'
u088,'{"userId":"u099","connectionType":"Following"}'
u089,'{"userId":"u100","connectionType":"Following"}'
u090,'{"userId":"u099","connectionType":"Following"}'
u091,'{"userId":"u100","connectionType":"Following"}'
u092,'{"userId":"u099","connectionType":"Following"}'
u093,'{"userId":"u100","connectionType":"Following"}'
u094,'{"userId":"u099","connectionType":"Following"}'
u095,'{"userId":"u100","connectionType":"Following"}'
u096,'{"userId":"u099","connectionType":"Following"}'
u097,'{"userId":"u100","connectionType":"Following"}'
u098,'{"userId":"u099","connectionType":"Following"}'
u099,'{"userId":"u100","connectionType":"Following"}'
u100,'{"userId":"u099","connectionType":"Following"}'
